# model Ommh2 Ombh2 sigma_8 h n_s w_0 w_a Omnuh2
M077 0.1321 0.0230 0.7011 0.6562 0.9938 -1.1170 1.0706 0.001979
M078 0.1446 0.0219 0.7903 0.8074 0.9752 -1.2323 1.1681 0.004021
M079 0.1344 0.0235 0.8742 0.7575 0.9219 -1.0483 -0.3793 0.004423
M080 0.1419 0.0218 0.8420 0.8205 0.9145 -1.1295 -1.2357 0.001959
M081 0.1366 0.0224 0.7034 0.6599 0.8745 -0.8122 0.7675 0.005665
M082 0.1511 0.0218 0.8061 0.7242 1.0132 -0.7940 0.0740 0.004488
M083 0.1501 0.0230 0.7458 0.6037 0.9999 -1.2300 0.9126 0.008023
M084 0.1244 0.0227 0.8444 0.7462 1.0351 -1.2012 1.0042 0.002919
M085 0.1546 0.0227 0.8201 0.8187 0.8620 -1.0794 0.3306 0.005524
M086 0.1289 0.0221 0.8467 0.7498 0.9158 -0.8964 0.7044 0.006605
M087 0.1437 0.0235 0.8383 0.6612 1.0206 -0.7128 0.3537 0.006952
M088 0.1237 0.0229 0.8779 0.6050 0.8725 -1.2333 1.1145 0.001034
M089 0.1505 0.0221 0.8396 0.5830 0.8506 -0.8262 0.3234 0.002603
M090 0.1439 0.0226 0.8366 0.6987 0.9116 -1.2874 0.2509 0.009071
M091 0.1325 0.0224 0.8076 0.6680 0.9435 -0.7361 -0.9543 0.003494
M092 0.1476 0.0215 0.8452 0.8060 0.9855 -0.9543 0.9158 0.007598
M093 0.1389 0.0219 0.7151 0.6105 0.9228 -1.2533 -0.3018 0.004566
M094 0.1386 0.0235 0.7699 0.7494 0.8529 -1.1243 1.0953 0.006593
M095 0.1424 0.0223 0.8764 0.6612 0.9422 -1.2912 1.2729 0.002028
M096 0.1404 0.0219 0.8946 0.8155 1.0442 -1.1562 -0.8081 0.001851
M097 0.1351 0.0226 0.7560 0.6549 1.0041 -0.8389 0.8124 0.005556
M098 0.1259 0.0225 0.7918 0.7512 0.9055 -1.1744 0.9019 0.003027
M099 0.1237 0.0233 0.8907 0.6375 0.9715 -1.2563 -0.6293 0.007970
M100 0.1232 0.0221 0.7715 0.5530 0.8635 -0.9174 -1.7275 0.007150
M101 0.1526 0.0217 0.7535 0.7292 0.8836 -0.7672 -0.1455 0.004596
M102 0.1531 0.0229 0.8727 0.8137 0.9916 -1.1062 0.5227 0.005416
M103 0.1274 0.0223 0.8993 0.7448 1.0455 -0.9231 0.7886 0.006497
M104 0.1481 0.0222 0.7512 0.7255 1.0029 -1.0720 0.1433 0.000910
M105 0.1490 0.0222 0.8922 0.5780 0.9802 -0.8530 0.4716 0.002495
M106 0.1422 0.0223 0.8679 0.6048 0.8869 -0.8012 0.6662 0.009949
M107 0.1304 0.0233 0.8171 0.8062 1.0495 -0.8080 0.3337 0.003607
M108 0.1414 0.0223 0.7269 0.7524 0.9095 -1.0203 0.6065 0.008364
M109 0.1377 0.0229 0.8656 0.6012 1.0062 -1.1060 0.9672 0.006263
M110 0.1336 0.0220 0.8703 0.8423 0.9509 -1.1045 0.0875 0.009305
M111 0.1212 0.0230 0.7810 0.6912 0.9695 -0.9892 0.1224 0.007263
T001 0.1333 0.02170 0.8233 0.7444 0.9778 -1.1560 -1.1220 0.005311
T002 0.1450 0.02184 0.8078 0.6689 0.9000 -0.9333 -0.5667 0.003467
T003 0.1417 0.02300 0.7767 0.7256 0.9222 -0.8444 0.8222 0.004389
T004 0.1317 0.02242 0.7611 0.6878 0.9333 -1.2000 -0.2889 0.001622
M000 0.1335 0.02258 0.8 0.71 0.963 -1.0 0.0 0.0
